character;gender
C-3PO;genderless
Yoda;male
Boba Fett;male
Obi-Wan Kenobi;male
Captain Kirk;male
Mr. Spock;male
Dr. McCoy;male
Scotty;male
Uhura;female
Hikaru Sulu;male
Chekov;male
Data;male
Jean-Luc Picard;male
William Riker;male
Deanna Troi;female
Worf;male
Geordi La Forge;male
Wesley Crusher;male
Seven of Nine;female
Kathryn Janeway;female
Chakotay;male
Tuvok;male
B'Elanna Torres;female
Tom Paris;male
Harry Kim;male
The Doctor;genderless
Anakin Skywalker;male
Darth Vader;male
Padmé Amidala;female
Han Solo;male
Princess Leia Organa;female
Chewbacca;male
Lando Calrissian;male
Qui-Gon Jinn;male
Mace Windu;male
Emperor Palpatine;male
Count Dooku;male
General Grievous;male
Rey;female
Finn;male
Poe Dameron;male
Kylo Ren;male
BB-8;genderless
R2-D2;genderless
C-3PO;genderless
The Mandalorian;male
Neo;male
Trinity;female
Morpheus;male
Agent Smith;male
The Architect;genderless
John Connor;male
Sarah Connor;female
The Terminator;genderless
Kyle Reese;male
T-1000;genderless
Ellen Ripley;female
Lt. Ellen Ripley;female
The Alien Queen;female
The Predators;genderless
The Xenomorphs;genderless
The Colonial Marines;genderless
The Engineers;genderless
David 8;genderless
HAL 9000;genderless
Dave Bowman;male
Frank Poole;male
Dr. Heywood Floyd;male
Roy Batty;male
Rick Deckard;male
Rachael;female
Gaff;male
Dr. Eldon Tyrell;male
Captain Dallas;male
Lieutenant Kane;male
Ash;genderless
Jonesy;genderless
Captain Nemo;male
Professor Aronnax;male
Conseil;male
Ned Land;male
The Nautilus;genderless
The Time Traveler;male
The Eloi;genderless
The Morlocks;genderless
Dr. John Watson;male
Sherlock Holmes;male
Professor James Moriarty;male
Irene Adler;female
Mycroft Holmes;male
Dr. Jekyll/Mr. Hyde;male
Mr. Edward Hyde;male
Dr. Victor Frankenstein;male
Frankenstein's Monster;genderless
Dracula;male
Count Dracula;male
Gandalf;male
Bilbo Baggins;male
Aragorn;male
Legolas;male
Gimli;male
Frodo Baggins;male
Samwise Gamgee;male
Galadriel;female
Elrond;male
Gollum;male
Sauron;male
Saruman;male
Thorin Oakenshield;male
Bard the Bowman;male
Beorn;male
Tom Bombadil;male
Eowyn;female
Eomer;male
Faramir;male
Treebeard;genderless
Pippin;male
Merry;male
Boromir;male
Celeborn;male
Haldir;male
Radagast;male
Kili;male
Tauriel;female
Thranduil;male
Arwen;female
Glorfindel;male
Harry Potter;male
Hermione Granger;female
Ron Weasley;male
Albus Dumbledore;male
Severus Snape;male
Sirius Black;male
Remus Lupin;male
Ginny Weasley;female
Neville Longbottom;male
Luna Lovegood;female
Fred Weasley;male
George Weasley;male
Draco Malfoy;male
Voldemort;male
Hagrid;male
Minerva McGonagall;female
Dobby;genderless
Bellatrix Lestrange;female
Lucius Malfoy;male
Zeus;male
Thor;male
Apollo;male
Odin;male
Hades;male
Anubis;male
Poseidon;male
Shiva;male
Vishnu;male
Brahma;male
Kali;female
Athena;female
Hera;female
Demeter;female
Persephone;female
Dionysus;male
Artemis;female
Hecate;female
Freyja;female
Frigg;female
Loki;male
Horus;male
Osiris;male
Ra;male
Anansi;male
Tiamat;female
Marduk;male
Enki;male
Inanna;female
Ereshkigal;female
Ishtar;female
Baal;male
Moloch;male
Astarte;female
Dagon;male
El;male
Yahweh;male
Jesus;male
Buddha;male
Ganesh;male
Kwan Yin;female
Amaterasu;female
Susanoo;male
Izanami;female
Kami;genderless
Quetzalcoatl;genderless
Tezcatlipoca;male
Tlaloc;male
Coatlicue;female
Inti;male
Pachamama;female
Viracocha;male
Mithras;male
Apollo Belenus;male
Cernunnos;male
Morrigan;female
Brigid;female
Lugh;male
The Dagda;male
The Horned God;male
Diana;female
Janus;male
Vesta;female
Saturn;genderless
Mars;genderless
Venus;female
Mercury;genderless
Neptune;genderless
Ceres;genderless
Bacchus;male
Cupid;male
Vulcan;male
Fortuna;female
Pluto;genderless
Juno;female
Apollo Musagetes;male
Eros;male
HymenTriton;genderless
Amphitrite;female
Proteus;male
Thetis;female
Oceanus;male
Helios;male
Selene;female
Atlas;male
Prometheus;male
Epimetheus;male
Hyperion;male
Rhea;female
Mario;male
Luigi;male
Bowser;male
Bowsette;female
Donkey Kong;male
Link;male
Princess Zelda;female
Princess Peach;female
Samus Aran;female
Kirby;genderless
Sonic the Hedgehog;genderless
Tails;genderless
Knuckles;genderless
Crash Bandicoot;genderless
Spyro the Dragon;genderless
Lara Croft;female
Nathan Drake;male
Master Chief;male
Cortana;female
Kratos;male
Cloud Strife;male
Tifa Lockhart;female
Leon S. Kennedy;male
Jill Valentine;female
Chris Redfield;male
Dante;male
Nero;male
Ryu;male
Ken Masters;male
Chun-Li;female
Sub-Zero;male
Scorpion from Mortal Kombat;male
Solid Snake;male
Big Boss;male
Ezio Auditore;male
Altair Ibn-La'Ahad;male
Aloy;female
Geralt of Rivia;male
Trevor Philips;male
Michael De Santa;male
Franklin Clinton;male
Niko Bellic;male
Tommy Vercetti;male
Marcus Fenix;male
Dom Santiago;male
Arthur Morgan;male
John Marston;male
Red Dead Redemption;genderless
Arthur Curry;male
Cole MacGrath;male
SpongeBob SquarePants;genderless
Homer Simpson;male
Betty Boop;female
Bart Simpson;male
Fred Flintstone;male
Shrek;male
Pink Panther;genderless
Popeye;male
Charlie Brown;male
Tweety Bird;genderless
Jerry Mouse;genderless
Wile E. Coyote;genderless
Sylvester;genderless
Road Runner;genderless
Yosemite Sam;male
Speedy Gonzales;male
Tasmanian Devil;genderless
Mighty Mouse;genderless
Inspector Gadget;male
Alvin;male
The Brain;genderless
Stimpy;genderless
Ren;genderless
Daria;female
Eric Cartman;male
Butters Stotch;male
Kenny McCormick;male
Stan Marsh;male
Kyle Broflovski;male
Peter Griffin;male
Brian Griffin;male
Stewie Griffin;male
Bender from Futurama;genderless
Fry from Futurama;male
Leela from Futurama;female
Roger from American Dad;genderless
Steve Smith;male
Walter White;male
Tony Soprano;male
Don Draper;male
Ross Geller;male
Jerry Seinfeld;male
Michael Scott;male
Carrie Bradshaw;female
Buffy Summers;female
Tyrion Lannister;male
Olivia Pope;female
Dexter Morgan;male
Meredith Grey;female
Rachel Green;female
Sheldon Cooper;male
Lorelai Gilmore;female
Cookie Lyon;female
Barney Stinson;male
Daenerys Targaryen;female
Sherlock Holmes;male
Leslie Knope;female
Alicia Florrick;female
Eleven from Stranger Things;female
Carrie Mathison;female
Mindy Lahiri;female
Agent Dale Cooper from Twin Peaks;male
Eric Cartman;male
Will Byers;male
Dr. House;male
Claire Underwood;female
Rick Grimes;male
Carrie Brownstein;female
Abed Nadir;male
Agent Mulder;male
Carmela Soprano;female
Leslie Poole;female
Jesse Pinkman;male
Lorelei Lee;female
Tracy Jordan;male
Omar Little;male
Dwight Schrute;male
Tyrone Biggums;male
Omarosa Manigault Newman;female
Issa Dee;female
David Brent;male
Betty Draper;female
Kenny Powers;male
Selina Meyer;female
Peggy Olson;female
Ash Ketchum;male
Misty from Pokemon;female
Brock from Pokemon;male
Gary Oak;male
Professor Oak;male
Nurse Joy;female
Officer Jenny;female
Jessie from Pokemon;female
James from Pokemon;male
Team Rocket;genderless
John Wick;male
Captain -material-beard;male
-animal-man;genderless
Poison Ivy from Batman;female
Ryu from Street Fighter;male
Ken from Street Fighter;male
Chun-Li from Street Fighter;female
Guile from Street Fighter;male
Blanka from Street Fighter;male
Dhalsim from Street Fighter;male
Zangief from Street Fighter;male
2B from Nier;female
A2 from Nier;female
9S from Nier;male
Kainé from Nier;genderless
Emil from Nier;male
Anthropomorphic -animal-;genderless
Barbie;female
Barbarella;female
Goku;male
Vegeta;male
Naruto Uzumaki;male
Sailor Moon;female
Monkey D. Luffy;male
Light Yagami;male
Edward Elric;male
Spike Spiegel;male
Levi Ackerman;male
Saitama;male
Jotaro Kujo;male
Guts;male
Alucard;male
-animal- like human;genderless
Kermit the Frog;male
Miss Piggy;female
Santa;male
Stormtrooper;genderless
Anna from Frozen;female
-charactertype- character;both
Lagertha from Vikings;female
Ragnar from Vikings;male
Rollo from Vikings;male
Goldilocks;female
Glinda;female
Robin Hood;male
Lilith;female
Moiraine Damodred;femala
Dexter from dexter's lab;male
Johnny Bravo;male
Donald Duck;male
Scrooge McDuck;male
Daisy Duck;female
Goofy;male
Daffy Duck;male
Sylvanas Windrunner;female
Doomguy;male
Guybrush Threepwood;male
Tom Nook;male
Cayde-6;male
Chloe Price;female
Deckard Cain;male
Commander Shepard;genderless
Rayman;male
Ryu Hayabusa;male
Ayane Hiragana;female
Kasumi;female
Gordon Freeman;male
The Joker;male
Harley Quinn;female
GLaDOS;genderless
Agent 47;male
Sam Fisher;male
Rayne from BloodRayne;female
Sarah Kerrigan;female
Megaman;male
Max Payne;male
Ivy Valentine;female
Chell;female
Ciri;female
Yennefer of Vengerberg;female
Cammy;female
Aerith Gainsborough;female
Lucky Chloe;female
Jin Kazama;male
Heihachi Mishima;male
Akuma;male
Eddy Gordo;male
Lightning from FF13;female
Pacman;male
Jack Sparrow;male
Cersei Lannister;female
Austin Powers;male
Bella Swan;female
Beatrice Prior;female
Beetlejuice;male
Big bird;genderless
Buffy Summers;female
Bridget Jones;female
Catwoman;female
Charlie Brown;male
Cheshire Cat;male
Cookie Monster;male
Daisy Duke;female
Deadpool;male
Doctor Evil;male
Edward Cullen;male
Jessica Rabbit;female
Spider-Gwen;female
Gwen Stacy;female
Super Saiyen;genderless
Mona Lisa;female
Hello Kitty;female
Peter Rabbit;male
Minion;genderless
